iter	Passed	Remaining
268	957	2601
269	958	2591
270	962	2589
271	964	2580
272	966	2573
273	967	2564
274	969	2555
275	970	2546
276	972	2537
277	977	2538
278	979	2531
279	981	2523
280	982	2514
281	984	2506
282	988	2504
283	990	2496
284	992	2489
285	993	2481
286	995	2472
287	996	2464
288	998	2455
289	1002	2453
290	1004	2446
291	1006	2439
292	1007	2430
293	1008	2422
294	1009	2412
295	1010	2404
296	1016	2405
297	1018	2398
298	1019	2390
299	1024	2390
300	1026	2382
301	1028	2377
302	1031	2371
303	1033	2365
304	1034	2357
305	1035	2348
306	1037	2341
307	1038	2333
308	1040	2326
309	1042	2321
310	1044	2314
311	1046	2308
312	1048	2300
313	1049	2293
314	1051	2286
315	1052	2279
316	1055	2274
317	1057	2267
318	1063	2269
319	1064	2262
320	1066	2255
321	1068	2250
322	1070	2243
323	1072	2236
324	1074	2231
325	1075	2224
326	1077	2217
327	1079	2210
328	1080	2203
329	1082	2197
330	1084	2191
331	1086	2186
332	1088	2180
333	1089	2173
334	1093	2171
335	1095	2165
336	1097	2159
337	1103	2162
338	1107	2159
339	1109	2153
340	1111	2147
341	1114	2144
342	1115	2137
343	1117	2130
344	1118	2124
345	1121	2119
346	1122	2113
347	1126	2110
348	1128	2104
349	1129	2097
350	1131	2091
351	1135	2089
352	1136	2083
353	1138	2078
354	1140	2072
355	1142	2066
356	1145	2063
357	1147	2058
358	1149	2052
359	1151	2047
360	1153	2041
361	1154	2034
362	1156	2028
363	1159	2025
364	1161	2020
365	1163	2014
366	1165	2009
367	1166	2003
368	1168	1997
369	1169	1991
370	1172	1987
371	1174	1983
372	1176	1977
373	1194	1999
374	1197	1995
375	1199	1990
376	1201	1986
377	1207	1987
378	1227	2011
379	1230	2007
380	1232	2002
381	1235	1998
382	1237	1993
383	1239	1988
384	1245	1989
385	1247	1983
386	1268	2009
387	1274	2010
388	1277	2006
389	1279	2000
390	1280	1994
391	1282	1988
392	1283	1982
393	1286	1978
394	1288	1973
395	1290	1967
396	1292	1962
397	1293	1956
398	1295	1950
399	1297	1945
400	1300	1942
401	1303	1938
402	1304	1932
403	1306	1926
404	1307	1921
405	1309	1915
406	1311	1911
407	1313	1906
408	1317	1903
409	1318	1898
410	1320	1892
411	1321	1886
412	1324	1882
413	1330	1883
414	1332	1877
415	1334	1873
416	1335	1867
417	1337	1862
418	1340	1859
419	1342	1853
420	1344	1849
421	1346	1843
422	1347	1838
423	1349	1832
424	1350	1827
425	1354	1825
426	1356	1820
427	1358	1814
428	1359	1809
429	1361	1804
430	1362	1798
431	1365	1795
432	1368	1791
433	1369	1786
434	1371	1781
435	1372	1775
436	1376	1772
437	1377	1768
438	1379	1763
439	1382	1759
440	1384	1754
441	1386	1749
442	1390	1747
443	1391	1743
444	1393	1738
445	1395	1733
446	1397	1728
447	1399	1723
448	1403	1722
449	1405	1718
450	1407	1713
451	1410	1710
452	1412	1705
453	1416	1703
454	1418	1699
455	1420	1694
456	1421	1689
457	1423	1684
458	1425	1680
459	1426	1675
460	1430	1672
461	1432	1667
462	1434	1663
463	1435	1658
464	1437	1653
465	1439	1649
466	1440	1644
467	1444	1641
468	1446	1637
469	1447	1632
470	1449	1627
471	1450	1623
472	1452	1618
473	1461	1621
474	1463	1617
475	1465	1612
476	1468	1610
477	1471	1607
478	1475	1604
479	1476	1599
480	1478	1595
481	1481	1591
482	1487	1591
483	1489	1587
484	1491	1583
485	1493	1579
486	1496	1576
487	1498	1572
488	1500	1567
489	1503	1565
490	1505	1560
491	1507	1556
492	1509	1552
493	1511	1548
494	1515	1546
495	1520	1544
496	1522	1541
497	1534	1546
498	1540	1546
499	1544	1544
500	1547	1541
501	1553	1541
502	1559	1540
503	1561	1536
504	1564	1533
505	1567	1530
506	1568	1525
507	1575	1526
508	1579	1523
509	1585	1523
510	1592	1523
511	1599	1524
512	1602	1521
513	1605	1517
514	1609	1515
515	1614	1514
516	1617	1511
517	1624	1511
518	1631	1511
519	1639	1513
520	1642	1509
521	1646	1508
522	1655	1509
523	1661	1509
524	1666	1507
525	1672	1506
526	1675	1504
527	1684	1506
528	1686	1501
529	1691	1500
530	1695	1497
531	1698	1494
532	1700	1489
533	1705	1488
534	1708	1485
535	1710	1480
536	1715	1479
537	1719	1476
538	1721	1472
539	1725	1470
540	1728	1466
541	1731	1462
542	1733	1459
543	1737	1456
544	1740	1453
545	1744	1450
546	1746	1446
547	1748	1442
548	1751	1438
549	1757	1437
550	1759	1434
551	1762	1430
552	1766	1427
553	1769	1424
554	1772	1421
555	1775	1418
556	1782	1417
557	1788	1416
558	1791	1413
559	1794	1409
560	1800	1408
561	1802	1405
562	1805	1401
563	1808	1397
564	1811	1394
565	1814	1391
566	1820	1390
567	1823	1386
568	1826	1383
569	1830	1381
570	1833	1377
571	1836	1374
572	1838	1370
573	1842	1367
574	1848	1366
575	1852	1363
576	1855	1360
577	1858	1356
578	1860	1352
579	1862	1348
580	1866	1345
581	1869	1342
582	1872	1339
583	1874	1335
584	1879	1333
585	1887	1333
586	1892	1331
587	1895	1328
588	1897	1323
589	1899	1319
590	1901	1315
591	1904	1312
592	1907	1309
593	1910	1306
594	1912	1302
595	1914	1297
596	1917	1294
597	1919	1290
598	1921	1286
599	1922	1281
600	1924	1277
601	1926	1273
602	1928	1269
603	1930	1265
604	1932	1262
605	1934	1258
606	1936	1253
607	1938	1249
608	1945	1249
609	1947	1244
610	1950	1241
611	1951	1237
612	1953	1233
613	1955	1229
614	1959	1226
615	1961	1222
616	1966	1220
617	1967	1216
618	1969	1212
619	1973	1209
620	1975	1205
621	1976	1201
622	1978	1197
623	1980	1193
624	1981	1189
625	1983	1185
626	1986	1181
627	1988	1177
628	1990	1174
629	1992	1170
630	1993	1166
631	1995	1161
632	1997	1158
633	2000	1154
634	2002	1151
635	2007	1148
636	2009	1145
637	2013	1142
638	2015	1138
639	2017	1134
640	2019	1130
641	2020	1126
642	2023	1123
643	2027	1120
644	2028	1116
645	2030	1112
646	2032	1108
647	2034	1105
648	2036	1101
649	2040	1098
650	2042	1094
651	2044	1091
652	2050	1089
653	2052	1086
654	2054	1082
655	2056	1078
656	2058	1074
657	2060	1070
658	2061	1066
659	2063	1062
660	2067	1060
661	2069	1056
662	2070	1052
663	2072	1048
664	2074	1044
665	2075	1040
666	2077	1036
667	2079	1033
668	2080	1029
669	2083	1026
670	2085	1022
671	2090	1020
672	2091	1016
673	2093	1012
674	2095	1009
675	2097	1005
676	2098	1001
677	2101	997
678	2104	995
679	2112	993
680	2114	990
681	2118	987
682	2120	984
683	2129	983
684	2131	980
685	2133	976
686	2134	972
687	2137	969
688	2139	965
689	2140	961
690	2143	958
691	2145	954
692	2146	951
693	2150	948
694	2152	944
695	2153	940
696	2159	938
697	2162	935
698	2164	931
699	2165	928
700	2167	924
701	2170	921
702	2172	917
703	2173	913
704	2175	910
705	2177	906
706	2179	903
707	2181	899
708	2182	895
709	2184	892
710	2185	888
711	2188	885
712	2190	881
713	2196	879
714	2198	876
715	2199	872
716	2203	869
717	2204	866
718	2206	862
719	2208	858
720	2210	855
721	2211	851
722	2213	847
723	2216	844
724	2218	841
725	2220	837
726	2221	834
727	2223	830
728	2224	827
729	2226	823
730	2229	820
731	2231	817
732	2233	813
733	2237	810
734	2239	807
735	2240	803
736	2243	800
737	2244	796
738	2246	793
739	2248	789
740	2249	786
741	2251	782
742	2252	779
743	2256	776
744	2259	773
745	2260	769
746	2262	766
747	2264	762
748	2265	759
749	2267	755
750	2270	752
751	2271	749
752	2276	746
753	2277	743
754	2279	739
755	2283	737
756	2285	733
757	2287	730
758	2289	726
759	2290	723
760	2292	719
761	2293	716
762	2297	713
763	2299	710
764	2301	706
765	2302	703
766	2304	700
767	2305	696
768	2307	693
769	2311	690
770	2313	687
771	2314	683
772	2316	680
773	2318	676
774	2324	674
775	2327	671
776	2330	668
777	2332	665
778	2337	663
779	2338	659
780	2340	656
781	2342	652
782	2343	649
783	2345	646
784	2351	644
785	2353	640
786	2355	637
787	2356	634
788	2358	630
789	2361	627
790	2363	624
791	2366	621
792	2367	618
793	2369	614
794	2371	611
795	2375	608
796	2376	605
797	2378	602
798	2380	598
799	2381	595
800	2383	592
801	2385	588
802	2388	585
803	2390	582
804	2392	579
805	2397	577
806	2399	573
807	2402	570
808	2405	567
809	2407	564
810	2409	561
811	2410	558
812	2412	554
813	2415	551
814	2417	548
815	2419	545
816	2421	542
817	2423	539
818	2424	535
819	2426	532
820	2431	530
821	2432	526
822	2439	524
823	2441	521
824	2445	518
825	2447	515
826	2449	512
827	2451	509
828	2452	505
829	2454	502
830	2455	499
831	2457	496
832	2460	493
833	2462	490
834	2463	486
835	2465	483
836	2466	480
837	2471	477
838	2472	474
839	2474	471
840	2475	468
841	2477	464
842	2482	462
843	2483	459
844	2485	455
845	2487	452
846	2488	449
847	2490	446
848	2491	443
849	2493	440
850	2495	436
851	2498	433
852	2499	430
853	2501	427
854	2502	424
855	2507	421
856	2509	418
857	2511	415
858	2515	412
859	2517	409
860	2520	406
861	2522	403
862	2524	400
863	2525	397
864	2527	394
865	2531	391
866	2533	388
867	2535	385
868	2537	382
869	2538	379
870	2540	376
871	2542	373
872	2544	370
873	2546	367
874	2551	364
875	2552	361
876	2554	358
877	2557	355
878	2558	352
879	2560	349
880	2562	346
881	2564	343
882	2566	340
883	2569	337
884	2571	334
885	2573	331
886	2575	328
887	2576	324
888	2578	321
889	2579	318
890	2583	316
891	2585	313
892	2590	310
893	2592	307
894	2593	304
895	2597	301
896	2599	298
897	2601	295
898	2603	292
899	2606	289
900	2608	286
901	2612	283
902	2614	280
903	2616	277
904	2618	274
905	2619	271
906	2621	268
907	2623	265
908	2624	262
909	2626	259
910	2633	257
911	2634	254
912	2636	251
913	2638	248
914	2641	245
915	2642	242
916	2644	239
917	2645	236
918	2649	233
919	2651	230
920	2653	227
921	2655	224
922	2657	221
923	2658	218
924	2660	215
925	2662	212
926	2664	209
927	2670	207
928	2671	204
929	2673	201
930	2677	198
931	2679	195
932	2682	192
933	2683	189
934	2685	186
935	2688	183
936	2690	180
937	2692	177
938	2694	175
939	2696	172
940	2698	169
941	2700	166
942	2703	163
943	2705	160
944	2710	157
945	2712	154
946	2717	152
947	2718	149
948	2720	146
949	2722	143
950	2723	140
951	2725	137
952	2729	134
953	2730	131
954	2732	128
955	2734	125
956	2736	122
957	2737	120
958	2738	117
959	2741	114
960	2743	111
961	2745	108
962	2750	105
963	2752	102
964	2754	99
965	2757	97
966	2759	94
967	2761	91
968	2762	88
969	2764	85
970	2765	82
971	2767	79
972	2770	76
973	2772	74
974	2774	71
975	2775	68
976	2777	65
977	2778	62
978	2781	59
979	2785	56
980	2786	53
981	2788	51
982	2790	48
983	2792	45
984	2793	42
985	2796	39
986	2798	36
987	2800	34
988	2801	31
989	2803	28
990	2805	25
991	2807	22
992	2809	19
993	2811	16
994	2813	14
995	2815	11
996	2817	8
997	2819	5
998	2823	2
999	2825	0
